"id";"name";"keystage_id"
1;"Yr1";1
2;"Yr2";1
3;"Yr3";1
4;"Yr4";2
5;"Yr5";2
6;"Yr6";2
7;"Yr7";3
8;"Yr8";3
9;"Yr9";3
