"id";"name";"level"
1;"Unistructural: Identify, Name, Define";"A"
2;"Multistructural: Describe, list";"B"
3;"Relational: Explain, Compare, Justify/Give reasons";"C"
4;"Extended Abstract: Create, Formulate";"D"
